region,crop,hectares,tonnes
famagusta,wheat,1668.24,3777.79
famagusta,barley,6273.06,13985.34
famagusta,olives,1564.61,3661.3
famagusta,citrus_trees,0.88,16.03
famagusta,deciduous_trees,0.96,6.55
famagusta,potatoes,460.92,10389.52
famagusta,wine_vineyards,0.0,0.0
famagusta,traditional_trees,18.76,81.7
famagusta,land_lying_fallow,0.0,0.0
famagusta,permanent_grassland,0.0,0.0
famagusta,other_crops,14.11,45.0
kyrenia,wheat,850.76,1926.58
kyrenia,barley,5576.53,12432.47
kyrenia,olives,1918.18,4488.69
kyrenia,citrus_trees,3.24,58.77
kyrenia,deciduous_trees,3.53,24.0
kyrenia,potatoes,856.47,19305.77
kyrenia,wine_vineyards,0.0,0.0
kyrenia,traditional_trees,6.3,27.43
kyrenia,land_lying_fallow,0.0,0.0
kyrenia,permanent_grassland,0.0,0.0
kyrenia,other_crops,9.41,30.0
larnaca,wheat,1971.8,4465.22
larnaca,barley,7480.24,16676.66
larnaca,olives,1186.69,2776.94
larnaca,citrus_trees,0.59,10.69
larnaca,deciduous_trees,0.64,4.36
larnaca,potatoes,115.98,2614.41
larnaca,wine_vineyards,0.0,0.0
larnaca,traditional_trees,11.39,49.61
larnaca,land_lying_fallow,0.0,0.0
larnaca,permanent_grassland,0.0,0.0
larnaca,other_crops,4.7,15.0
limassol,wheat,306.25,693.52
limassol,barley,5713.84,12738.61
limassol,olives,2699.7,6317.49
limassol,citrus_trees,10.01,181.67
limassol,deciduous_trees,10.9,74.2
limassol,potatoes,606.81,13678.06
limassol,wine_vineyards,0.0,0.0
limassol,traditional_trees,29.48,128.4
limassol,land_lying_fallow,0.0,0.0
limassol,permanent_grassland,0.0,0.0
limassol,other_crops,21.17,67.51
nicosia,wheat,628.42,1423.08
nicosia,barley,7032.62,15678.73
nicosia,olives,1073.42,2511.88
nicosia,citrus_trees,0.59,10.69
nicosia,deciduous_trees,0.64,4.36
nicosia,potatoes,698.93,15754.6
nicosia,wine_vineyards,0.0,0.0
nicosia,traditional_trees,10.32,44.94
nicosia,land_lying_fallow,0.0,0.0
nicosia,permanent_grassland,0.0,0.0
nicosia,other_crops,4.7,15.0
paphos,wheat,1017.19,2303.46
paphos,barley,3028.63,6752.12
paphos,olives,2602.04,6088.96
paphos,citrus_trees,5.0,90.83
paphos,deciduous_trees,5.45,37.1
paphos,potatoes,1422.79,32071.26
paphos,wine_vineyards,0.0,0.0
paphos,traditional_trees,18.63,81.12
paphos,land_lying_fallow,0.0,0.0
paphos,permanent_grassland,0.0,0.0
paphos,other_crops,28.23,90.0
